2016-04-05:13:16:49[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:114 |!ok 关闭 this.recvBuf
2016-04-05:13:16:49[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:114 |!ok 关闭 this.recvBuf
2016-04-05:13:17:12[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:89 |timeout
2016-04-05:13:17:12[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:89 |timeout
2016-04-05:13:17:12[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:89 |timeout
2016-04-05:13:17:12[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:89 |timeout
2016-04-05:13:17:12[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:89 |timeout
2016-04-05:13:17:12[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:89 |timeout
2016-04-05:13:17:12[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:89 |timeout
2016-04-05:13:17:12[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:89 |timeout
2016-04-05:13:17:12[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:89 |timeout
2016-04-05:13:17:12[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:89 |timeout
2016-04-05:13:17:12[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:114 |!ok 关闭 this.recvBuf
2016-04-05:13:17:12[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:114 |!ok 关闭 this.recvBuf
2016-04-05:13:17:12[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:114 |!ok 关闭 this.recvBuf
2016-04-05:13:17:12[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:114 |!ok 关闭 this.recvBuf
2016-04-05:13:17:12[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:114 |!ok 关闭 this.recvBuf
2016-04-05:13:17:12[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:114 |!ok 关闭 this.recvBuf
2016-04-05:13:17:12[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:114 |!ok 关闭 this.recvBuf
2016-04-05:13:17:12[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:114 |!ok 关闭 this.recvBuf
2016-04-05:13:17:12[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:114 |!ok 关闭 this.recvBuf
2016-04-05:13:17:12[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:114 |!ok 关闭 this.recvBuf
2016-04-05:13:17:52[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:89 |timeout
2016-04-05:13:17:52[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:89 |timeout
2016-04-05:13:17:52[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:89 |timeout
2016-04-05:13:17:52[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:89 |timeout
2016-04-05:13:17:52[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:89 |timeout
2016-04-05:13:17:52[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:89 |timeout
2016-04-05:13:17:52[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:89 |timeout
2016-04-05:13:17:52[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:89 |timeout
2016-04-05:13:17:52[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:89 |timeout
2016-04-05:13:17:52[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:89 |timeout
2016-04-05:13:17:52[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:114 |!ok 关闭 this.recvBuf
2016-04-05:13:17:52[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:114 |!ok 关闭 this.recvBuf
2016-04-05:13:17:52[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:114 |!ok 关闭 this.recvBuf
2016-04-05:13:17:52[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:114 |!ok 关闭 this.recvBuf
2016-04-05:13:17:52[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:114 |!ok 关闭 this.recvBuf
2016-04-05:13:17:52[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:114 |!ok 关闭 this.recvBuf
2016-04-05:13:17:52[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:114 |!ok 关闭 this.recvBuf
2016-04-05:13:17:52[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:114 |!ok 关闭 this.recvBuf
2016-04-05:13:17:52[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:114 |!ok 关闭 this.recvBuf
2016-04-05:13:17:52[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:114 |!ok 关闭 this.recvBuf
2016-04-05:13:19:29[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:90 |timeout
2016-04-05:13:19:29[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:90 |timeout
2016-04-05:13:19:29[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:90 |timeout
2016-04-05:13:19:29[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:90 |timeout
2016-04-05:13:19:29[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:90 |timeout
2016-04-05:13:19:29[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:90 |timeout
2016-04-05:13:19:29[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:90 |timeout
2016-04-05:13:19:29[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:90 |timeout
2016-04-05:13:19:29[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:90 |timeout
2016-04-05:13:19:29[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:90 |timeout
2016-04-05:13:19:29[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:115 |!ok 关闭 this.recvBuf
2016-04-05:13:19:29[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:115 |!ok 关闭 this.recvBuf
2016-04-05:13:19:29[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:115 |!ok 关闭 this.recvBuf
2016-04-05:13:19:29[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:115 |!ok 关闭 this.recvBuf
2016-04-05:13:19:29[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:115 |!ok 关闭 this.recvBuf
2016-04-05:13:19:29[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:115 |!ok 关闭 this.recvBuf
2016-04-05:13:19:29[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:115 |!ok 关闭 this.recvBuf
2016-04-05:13:19:29[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:115 |!ok 关闭 this.recvBuf
2016-04-05:13:19:29[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:115 |!ok 关闭 this.recvBuf
2016-04-05:13:19:29[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:115 |!ok 关闭 this.recvBuf
2016-04-05:13:20:41[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:90 |timeout
2016-04-05:13:20:41[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:90 |timeout
